,source_dataset,isMath,attack,source_model,source_balancing,target_model,target_dataset,target_balancing,asr,asr_0,asr_1
0,bing,False,GreyScale,alexnet,20/80,alexnet,bing,20/80,0.05762712,0.11724137931034483,0.0
1,bing,False,GreyScale,alexnet,20/80,alexnet,bing,30/70,0.024137931,0.05,0.0
2,bing,False,GreyScale,alexnet,20/80,alexnet,bing,40/60,0.0034013605,0.006896551724137931,0.0
3,bing,False,GreyScale,alexnet,20/80,alexnet,bing,50/50,0.0068259384,0.013888888888888888,0.0
4,bing,False,GreyScale,alexnet,20/80,resnet,bing,20/80,0.0034129692,0.006993006993006993,0.0
5,bing,False,GreyScale,alexnet,20/80,resnet,bing,30/70,0.0068259384,0.013986013986013986,0.0
6,bing,False,GreyScale,alexnet,20/80,resnet,bing,40/60,0.0,0.0,0.0
7,bing,False,GreyScale,alexnet,20/80,resnet,bing,50/50,0.0,0.0,0.0
8,bing,False,GreyScale,alexnet,20/80,vgg,bing,20/80,0.0,0.0,0.0
9,bing,False,GreyScale,alexnet,20/80,vgg,bing,30/70,0.0033898305,0.006896551724137931,0.0
10,bing,False,GreyScale,alexnet,20/80,vgg,bing,40/60,0.0,0.0,0.0
11,bing,False,GreyScale,alexnet,20/80,vgg,bing,50/50,0.0033783785,0.00684931506849315,0.0
12,bing,False,GreyScale,alexnet,20/80,alexnet,google,20/80,0.07,0.14,0.0
13,bing,False,GreyScale,alexnet,20/80,alexnet,google,30/70,0.026666667,0.05333333333333334,0.0
14,bing,False,GreyScale,alexnet,20/80,alexnet,google,40/60,0.023333333,0.04666666666666667,0.0
15,bing,False,GreyScale,alexnet,20/80,alexnet,google,50/50,0.030000001,0.06,0.0
16,bing,False,GreyScale,alexnet,20/80,resnet,google,20/80,0.030000001,0.06,0.0
17,bing,False,GreyScale,alexnet,20/80,resnet,google,30/70,0.023333333,0.04666666666666667,0.0
18,bing,False,GreyScale,alexnet,20/80,resnet,google,40/60,0.016666668,0.03333333333333333,0.0
19,bing,False,GreyScale,alexnet,20/80,resnet,google,50/50,0.01,0.02,0.0
20,bing,False,GreyScale,alexnet,20/80,vgg,google,20/80,0.023333333,0.04666666666666667,0.0
21,bing,False,GreyScale,alexnet,20/80,vgg,google,30/70,0.02,0.04,0.0
22,bing,False,GreyScale,alexnet,20/80,vgg,google,40/60,0.016666668,0.03333333333333333,0.0
23,bing,False,GreyScale,alexnet,20/80,vgg,google,50/50,0.016666668,0.03333333333333333,0.0
24,bing,False,GreyScale,alexnet,30/70,alexnet,bing,20/80,0.05762712,0.11724137931034483,0.0
25,bing,False,GreyScale,alexnet,30/70,alexnet,bing,30/70,0.024137931,0.05,0.0
26,bing,False,GreyScale,alexnet,30/70,alexnet,bing,40/60,0.0034013605,0.006896551724137931,0.0
27,bing,False,GreyScale,alexnet,30/70,alexnet,bing,50/50,0.0068259384,0.013888888888888888,0.0
28,bing,False,GreyScale,alexnet,30/70,resnet,bing,20/80,0.0034129692,0.006993006993006993,0.0
29,bing,False,GreyScale,alexnet,30/70,resnet,bing,30/70,0.0068259384,0.013986013986013986,0.0
30,bing,False,GreyScale,alexnet,30/70,resnet,bing,40/60,0.0,0.0,0.0
31,bing,False,GreyScale,alexnet,30/70,resnet,bing,50/50,0.0,0.0,0.0
32,bing,False,GreyScale,alexnet,30/70,vgg,bing,20/80,0.0,0.0,0.0
33,bing,False,GreyScale,alexnet,30/70,vgg,bing,30/70,0.0033898305,0.006896551724137931,0.0
34,bing,False,GreyScale,alexnet,30/70,vgg,bing,40/60,0.0,0.0,0.0
35,bing,False,GreyScale,alexnet,30/70,vgg,bing,50/50,0.0033783785,0.00684931506849315,0.0
36,bing,False,GreyScale,alexnet,30/70,alexnet,google,20/80,0.07,0.14,0.0
37,bing,False,GreyScale,alexnet,30/70,alexnet,google,30/70,0.026666667,0.05333333333333334,0.0
38,bing,False,GreyScale,alexnet,30/70,alexnet,google,40/60,0.023333333,0.04666666666666667,0.0
39,bing,False,GreyScale,alexnet,30/70,alexnet,google,50/50,0.030000001,0.06,0.0
40,bing,False,GreyScale,alexnet,30/70,resnet,google,20/80,0.030000001,0.06,0.0
41,bing,False,GreyScale,alexnet,30/70,resnet,google,30/70,0.023333333,0.04666666666666667,0.0
42,bing,False,GreyScale,alexnet,30/70,resnet,google,40/60,0.016666668,0.03333333333333333,0.0
43,bing,False,GreyScale,alexnet,30/70,resnet,google,50/50,0.01,0.02,0.0
44,bing,False,GreyScale,alexnet,30/70,vgg,google,20/80,0.023333333,0.04666666666666667,0.0
45,bing,False,GreyScale,alexnet,30/70,vgg,google,30/70,0.02,0.04,0.0
46,bing,False,GreyScale,alexnet,30/70,vgg,google,40/60,0.016666668,0.03333333333333333,0.0
47,bing,False,GreyScale,alexnet,30/70,vgg,google,50/50,0.016666668,0.03333333333333333,0.0
48,bing,False,GreyScale,alexnet,40/60,alexnet,bing,20/80,0.05762712,0.11724137931034483,0.0
49,bing,False,GreyScale,alexnet,40/60,alexnet,bing,30/70,0.024137931,0.05,0.0
50,bing,False,GreyScale,alexnet,40/60,alexnet,bing,40/60,0.0034013605,0.006896551724137931,0.0
51,bing,False,GreyScale,alexnet,40/60,alexnet,bing,50/50,0.0068259384,0.013888888888888888,0.0
52,bing,False,GreyScale,alexnet,40/60,resnet,bing,20/80,0.0034129692,0.006993006993006993,0.0
53,bing,False,GreyScale,alexnet,40/60,resnet,bing,30/70,0.0068259384,0.013986013986013986,0.0
